,date,username,tweet,hashtags
70,2022-12-29 14:57:50,kokojoseph_i,"Menurut (KBBI), arti kata julid adalah menaruh perasaan marah (benci, tidak suka) karena iri yang amat sangat kepada keberuntungan orang lain. #pengacarakokojosephirianto #fyp #fypシ #viral #julid #judeslidah #kbbi #penghinaan #penjara #temanjulid #hukum #hukumindonesia #kuhp  https://t.co/6LIMMJuBUG","['pengacarakokojosephirianto', 'fyp', 'fypシ', 'viral', 'julid', 'judeslidah', 'kbbi', 'penghinaan', 'penjara', 'temanjulid', 'hukum', 'hukumindonesia', 'kuhp']"
71,2022-12-29 14:45:45,dellaannissaa,@stephan_gin KUHP baru reformasi hukum #DukungPengesahanKUHP,['dukungpengesahankuhp']
72,2022-12-29 14:45:30,dellaannissaa,@Evelia21478796 KUHP baru reformasi hukum #DukungPengesahanKUHP,['dukungpengesahankuhp']
73,2022-12-29 14:39:43,penggemaryuji,Disclaimer sebelum kena kuhp : gw cuma nanya doang ya.,[]
74,2022-12-29 14:32:28,AyuLestari_100,@stephan_gin dukung KUHP buatan anak bangsa,[]
75,2022-12-29 14:32:10,AyuLestari_100,@Evelia21478796 dukung KUHP buatan anak bangsa,[]
76,2022-12-29 14:21:32,grsroots,"ga ngerti, wong mbak e tolak KUHP kok. wokwokwok",[]
77,2022-12-29 14:19:10,IiiCalang,"#SahabatPengayoman sekarang Yomin mau menjawab lagi pertanyaan tentang RUU KUHP khususnya hukum adat.   Sebenarnya setelah adanya KUHP baru, hukum adat itu masih berlaku ga sih? Statusnya seperti apa?  Jadi simak baik-baik.  #KumhamPasti  https://t.co/itb4K5NtRE","['sahabatpengayoman', 'kumhampasti']"
78,2022-12-29 14:14:29,CaesarianaDima1,"UU KUHP dan UU TPKS yang belum usai selama 10 tahun, berhasil di sah kan di era Jokowi.  Minho CONGRATULATIONS BTS Ultras Mnet Min Yoongi PSSI Tahun 2023 Kehilangan Bangkok 4x6 Photo #HappyBirthdayTaehyung #SUGA #Candy1stWin  https://t.co/aigcsAGkED","['happybirthdaytaehyung', 'suga', 'candy1stwin']"
79,2022-12-29 14:08:20,raniarianiii,KUHP baru banyak sisi positif #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP  https://t.co/mqb25lvA2m,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp']"
80,2022-12-29 14:04:50,ForRezim,"@zarnaout45 @NawiIrsan #RezimSukaSuka  Kita kawal pengganti rezim sekarang utk &gt; Cabut UU Omnibus Law, cabut Pasal kontroversial dlm KUHP,deportasi TKA China ilegal ada di NKRI,sweeping  dari desa sampai apartemen di kota, jangan sampai Indonesia &gt; seperti negara Tibet yg di ambil RRC komumis",['rezimsukasuka']
81,2022-12-29 14:01:00,ekky1995,"@BuzzerRonaldo PKS mah, aslinya setuju2 aja sama KUHP baru itu.  Demi terlihat populis, (pura-pura) jadi kontra sama itu lah, wkwkwk.",[]
82,2022-12-29 13:49:03,zara_auliana,"UU KUHP dan UU TPKS yang belum usai selama 10 tahun, berhasil di sah kan di era Jokowi.  Harry Potter | Bangkok | Lawan 10 | Tahun 2023 | Min Yoongi | Ultras | The Lord of the Rings | Mnet | minho | CUBE | #HappyBirthdayTaehyung | #WONWOO | #SUGA  https://t.co/7yEvSVqRUF","['happybirthdaytaehyung', 'wonwoo', 'suga']"
83,2022-12-29 13:47:13,bluepoison18J,"@stephan_gin Dukung pengesahan KUHP, sebagai langkah besar Indonesia dalam melakukan reformasi hukum pidana.",[]
84,2022-12-29 13:46:50,bluepoison18J,"@Evelia21478796 Dukung pengesahan KUHP, sebagai langkah besar Indonesia dalam melakukan reformasi hukum pidana.",[]
85,2022-12-29 13:42:57,hestipur838383x,@doy999999x Udah jd kuhp nya,[]
86,2022-12-29 13:36:11,alika_rivania,KUHP Pasal 263 Ayat 1 tentang pidana penyebar berita bohong  #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/QsmxwpkRQb,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
87,2022-12-29 13:36:05,alika_rivania,KUHP baru tidak untuk bungkam demokrasi  #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/Oq5zqnelOT,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
88,2022-12-29 13:35:59,alika_rivania,Pasal zina di KUHP tak bakal pengaruhi pariwisata RI  #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/DmG6afa6Um,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
89,2022-12-29 13:35:47,alika_rivania,KUHP baru tidak melanggar HAM  #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/I1RlohRn7K,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
